Timestamp,First choice,Second choice,Third choice
3/17/2019 0:17:17,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:17:31,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:17:38,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:17:59,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:18:02,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:18:04,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:18:08,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:19:17,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:19:40,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:19:50,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:20:01,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:20:07,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:20:18,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:20:22,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:20:29,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:21:34,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:21:43,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:22:13,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:22:40,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:22:41,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:23:31,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:23:37,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:23:49,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:24:01,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:24:48,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:24:56,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:24:59,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:25:28,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:25:29,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:25:30,@scottlincicome,@AlanMCole,@mattyglesias
